id,year,coh,ndrod,duy,yduy,duc,yduc,nmissd,uy,uc
1,1979,0,0,0,0,0,0,3,,
1,1980,0,0,0,0,0,0,3,,
1,1981,0,0,0,0,0,0,3,,
1,1982,0,0,0,0,0,0,3,,
1,1983,0,0,0,0,0,0,3,,
1,1984,0,0,0,0,0,0,3,,
1,1985,0,0,0,0,0,0,3,,
1,1986,0,0,0,0,0,0,3,,
1,1987,0,1,0,0,0,0,3,,
1,1988,0,1,0,0,0,0,3,,
1,1989,0,1,0,0,0,0,3,,
1,1990,0,0,0,0,0,0,3,,
1,1991,0,0,0,0,0,0,3,,
1,1992,0,0,0,0,0,0,3,,
2,1979,0,0,1.586283,1,-.4929579,1,3,1.260324,.0202852
2,1980,0,0,-1.28932,1,.6039806,1,3,-.0289959,.6242658
2,1981,0,0,.3708552,1,-.2250353,1,3,.3418594,.3992305
2,1982,0,0,-.1728681,1,-.4658418,1,3,.1689913,-.0666113
2,1983,0,0,.2837025,1,.0533395,1,3,.4526938,-.0132718
2,1984,0,0,-.2252243,1,-.4375471,1,3,.2274694,-.4508189
2,1985,0,0,.3228578,1,.0302514,1,3,.5503272,-.4205676
2,1986,0,0,-.8222758,1,-.5749006,1,3,-.2719485,-.9954681
2,1987,0,1,.3657106,1,0,0,3,.0937622,
2,1988,0,1,0,0,0,0,3,,
2,1989,0,1,0,0,0,0,3,,
2,1990,0,0,0,0,0,0,3,,
2,1991,0,0,0,0,0,0,3,,
2,1992,0,0,0,0,0,0,3,,
3,1979,0,0,0,0,0,0,3,,
3,1980,0,0,0,0,0,0,3,,
3,1981,0,0,0,0,0,0,3,,
3,1982,0,0,0,0,0,0,3,.3644609,.2607437
3,1983,0,0,-.1038771,1,-.22981,1,3,.2605839,.0309337
3,1984,0,0,.405756,1,.5755367,1,3,.6663399,.6064703
3,1985,0,0,-.3629765,1,-.2340421,1,3,.3033634,.3724282
3,1986,0,0,-.0198467,1,-.4381829,1,3,.2835167,-.0657547
3,1987,0,1,.0010426,1,0,0,3,.2845592,
3,1988,0,1,.1570019,1,0,0,3,.4415611,
3,1989,0,1,-.3936843,1,0,0,3,.0478768,.0702611
3,1990,0,0,.1700133,1,-.0272223,1,3,.2178901,.0430388
3,1991,0,0,.2411042,1,.1459954,1,3,.4589943,.1890342
3,1992,0,0,-.2955126,1,-.3227558,1,3,.1634817,-.1337216
4,1979,0,0,0,0,0,0,3,-.2072558,-.8717855
4,1980,0,0,.1450107,1,.5840803,1,3,-.0622451,-.2877052
4,1981,0,0,.1592405,1,-.8723857,1,3,.0969955,-1.160091
4,1982,0,0,-.2207446,1,-.1881936,1,3,-.1237492,-1.348284
4,1983,0,0,-.1753295,1,.7471285,1,3,-.2990786,-.601156
4,1984,0,0,.0998733,1,-.2521634,1,3,-.1992053,-.8533193
4,1985,0,0,.5979259,1,-.4020476,1,3,.3987206,-1.255367
4,1986,0,0,-.0802665,1,.7090874,1,3,.3184541,-.5462795
4,1987,0,1,-.0200731,1,0,0,3,.298381,
4,1988,0,1,-.0590228,1,0,0,3,.2393582,
4,1989,0,1,-.2384915,1,0,0,3,.0008667,-.4988081
4,1990,0,0,-.0207129,1,-.0892962,1,3,-.0198462,-.5881043
4,1991,0,0,.0078147,1,.2111695,1,3,-.0120315,-.3769348
4,1992,0,0,.7559025,1,.2628172,1,3,.7438711,-.1141177
5,1979,0,0,-.0935595,1,-.1159138,1,3,-.2143233,-.0089865
5,1980,0,0,-.0675044,1,-.0313671,1,3,-.2818278,-.0403536
5,1981,0,0,.3693008,1,-.2449903,1,3,.087473,-.2853439
5,1982,0,0,-.0711804,1,-.5561002,1,3,.0162927,-.8414441
5,1983,0,0,-.8351764,1,-1.270802,1,3,-.8188838,-2.112246
5,1984,0,0,-.334962,1,1.4063,1,3,-1.153846,-.7059456
5,1985,0,0,.2570193,1,1.487421,1,3,-.8968264,.7814749
5,1986,0,0,.4076159,1,-.9915353,1,3,-.4892105,-.2100603
5,1987,0,1,.2817455,1,0,0,3,-.207465,
5,1988,0,1,-.1158825,1,0,0,3,-.3233475,
5,1989,0,1,.3633036,1,0,0,3,.0399561,-.388658
5,1990,0,0,.0890356,1,-.776913,1,3,.1289918,-1.165571
5,1991,0,0,.142247,1,.708637,1,3,.2712387,-.4569341
5,1992,0,0,-1.464745,1,.2979255,1,3,-1.193506,-.1590086
6,1979,0,0,0,0,0,0,3,,
6,1980,0,0,0,0,0,0,3,,
6,1981,0,0,0,0,0,0,3,,
6,1982,0,0,0,0,0,0,3,,
6,1983,0,0,0,0,0,0,3,,
6,1984,0,0,0,0,0,0,3,,
6,1985,0,0,0,0,0,0,3,,
6,1986,0,0,0,0,0,0,3,,
6,1987,0,1,0,0,0,0,3,,
6,1988,0,1,0,0,0,0,3,-1.011805,
6,1989,0,1,.6540064,1,0,0,3,-.3577988,.141593
6,1990,0,0,-.1362521,1,.1627909,1,3,-.4940508,.3043839
6,1991,0,0,.043523,1,-.0767448,1,3,-.4505279,.2276392
6,1992,0,0,-.008066,1,-.0382556,1,3,-.4585938,.1893836
7,1979,0,0,0,0,0,0,3,,
7,1980,0,0,0,0,0,0,3,,
7,1981,0,0,0,0,0,0,3,,
7,1982,0,0,0,0,0,0,3,,
7,1983,0,0,0,0,0,0,3,,
7,1984,0,0,0,0,0,0,3,,
7,1985,0,0,0,0,0,0,3,.2691734,-.1867606
7,1986,0,0,.2592443,1,.0117614,1,3,.5284177,-.1749992
7,1987,0,1,.2617566,1,0,0,3,.7901743,
